,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,street,city,statezip,country,price_Z,price_MM,price_Log
10,20140502T000000,463000,3,1.75,1710,7320,1.0,0,0.0,3.0,1710,0,1948,,Burke-Gilman Trail,Lake Forest Park,WA 98155,USA,-0.25188531279885207,0.055122055981101,13.045482333068371
11,20140502T000000,1400000,4,2.5,2920,4000,1.5,0,0.0,5.0,1910,1010,1909,,3838-4098 44th Ave NE,Seattle,WA 98105,USA,2.2464577782361514,0.18927625456367672,14.151982794585487
12,20140502T000000,588500,3,1.75,2330,14892,1.0,0,0.0,3.0,1970,360,1980,,1833 220th Pl NE,Sammamish,WA 98074,USA,0.08273801476239974,0.07309041448922615,13.285332205682469
13,20140502T000000,365000,3,1.0,1090,6435,1.0,0,0.0,4.0,1090,0,1955,,2504 SW Portland Ct,Seattle,WA 98106,USA,-0.513184803643495,0.04109098718591166,12.80765263256463
14,20140502T000000,1200000,5,2.75,2910,9480,1.5,0,0.0,3.0,2910,0,1939,,3534 46th Ave NE,Seattle,WA 98105,USA,1.7131935112062682,0.16064142028778008,13.997832114758229
15,20140502T000000,242500,3,1.5,1200,9720,1.0,0,0.0,4.0,1200,0,1965,,14034 SE 201st St,Kent,WA 98042,USA,-0.8398091671992984,0.023552151191924976,12.398756989359676
16,20140502T000000,419000,3,1.5,1570,6700,1.0,0,0.0,4.0,1570,0,1956,,15424 SE 9th St,Bellevue,WA 98007,USA,-0.3692034515454264,0.04882239244040375,12.945626198904275
17,20140502T000000,285000,4,2.5,2200,9397,2.0,0,0.0,3.0,2200,0,1987,,5214 S 292nd St,Auburn,WA 98001,USA,-0.7264905104554482,0.02963705347555301,12.560244459250788
18,20140502T000000,367500,4,3.0,3110,7231,2.0,0,0.0,3.0,3110,0,1997,,11224 SE 306th Pl,Auburn,WA 98092,USA,-0.5065190003056214,0.04144892261436037,12.814478597635029
19,20140502T000000,257950,3,1.75,1370,5858,1.0,0,0.0,3.0,1370,0,1987,,1605 S 245th Pl,Des Moines,WA 98198,USA,-0.79861450257124,0.02576419213973799,12.460521046672795
20,20140502T000000,275000,3,1.5,1180,10277,1.0,0,0.0,3.0,1180,0,1983,,12425 415th Ave SE,North Bend,WA 98045,USA,-0.7531537238069425,0.028205311761758174,12.524526376648708
21,20140502T000000,750000,3,1.75,2240,10578,2.0,0,0.0,5.0,1550,690,1923,,3225 NE 92nd St,Seattle,WA 98115,USA,0.5133489103890305,0.09621304316701268,13.527828485512494
22,20140502T000000,435000,4,1.0,1450,8800,1.0,0,0.0,4.0,1450,0,1954,,3922 154th Ave SE,Bellevue,WA 98006,USA,-0.3265423101830357,0.05111317918247548,12.983101310070822
23,20140502T000000,626000,3,2.25,1750,1572,2.5,0,0.0,3.0,1470,280,2005,,3140 Franklin Ave E,Seattle,WA 98102,USA,0.18272506483050288,0.07845944591595677,13.347105650082236
24,20140502T000000,612500,4,2.5,2730,12261,2.0,0,0.0,3.0,2730,0,1991,,10212 NE 156th Pl,Bothell,WA 98011,USA,0.14672972680598576,0.07652659460233374,13.32530422140102
25,20140502T000000,495000,4,1.75,1600,6380,1.0,0,0.0,3.0,1130,470,1959,,2021 NE 100th St,Seattle,WA 98125,USA,-0.16656303007407072,0.05970362946524447,13.112313041550827
26,20140502T000000,285000,3,2.5,2090,10834,1.0,0,0.0,4.0,1360,730,1987,,27736 23rd Avenue South,Federal Way,WA 98003,USA,-0.7264905104554482,0.02963705347555301,12.560244459250788
27,20140502T000000,615000,3,1.75,2360,7291,1.0,0,0.0,4.0,1360,1000,1948,,8436-8438 41st Ave SW,Seattle,WA 98136,USA,0.1533955301438593,0.07688453003078245,13.329377546788654
28,20140502T000000,698000,4,2.25,2200,11250,1.5,0,0.0,5.0,1300,900,1920,,1036 4th St,Kirkland,WA 98033,USA,0.3747002009612609,0.08876798625527955,13.45597438174451
29,20140502T000000,675000,5,2.5,2820,67518,2.0,0,0.0,3.0,2820,0,1979,,23525 SE 32nd Way,Issaquah,WA 98029,USA,0.31337481025282427,0.08547498031355144,13.422467969854667
30,20140502T000000,790000,3,2.5,2600,4750,1.0,0,0.0,4.0,1700,900,1951,,3314 NW 75th St,Seattle,WA 98117,USA,0.6200017637950073,0.101940010022192,13.579788224443204
31,20140502T000000,382500,4,1.75,1560,8700,1.0,0,0.0,4.0,1560,0,1967,,14104 119th Ave NE,Kirkland,WA 98034,USA,-0.4665241802783801,0.04359653518505261,12.854483932248728
32,20140502T000000,499950,4,2.5,2860,3345,2.0,0,0.0,3.0,2190,670,2004,,20120 137th Ave NE,Woodinville,WA 98072,USA,-0.1533647394650811,0.060412341613572916,13.122263372403996
33,20140502T000000,650000,4,2.0,1820,5000,1.5,0,1.0,3.0,1640,180,1945,,7201-7399 55th Ave NE,Seattle,WA 98115,USA,0.24671677687408888,0.08189562602906436,13.38472764187182
34,20140502T000000,440000,4,2.25,2160,8119,1.0,0,0.0,3.0,1080,1080,1966,,12211 SE 65th St,Bellevue,WA 98006,USA,-0.31321070350728863,0.05182905003937289,12.994530005894443
35,20140502T000000,625000,4,2.5,2820,8408,2.0,0,0.0,3.0,2820,0,2014,,17052 4th Ave NE,Shoreline,WA 98155,USA,0.18005874349535345,0.07831627174457728,13.345506928718539
36,20140502T000000,400000,4,2.5,3630,42884,1.5,0,0.0,3.0,2300,1330,1979,,5172-5198 Heather Ave SE,Auburn,WA 98092,USA,-0.4198635569132653,0.04610208318419357,12.89921982609012
37,20140502T000000,604000,3,2.5,3240,33151,2.0,0,2.0,3.0,3240,0,1995,,30822 36th Ct SW,Federal Way,WA 98023,USA,0.1240659954572157,0.07530961414560813,13.311329476916953
38,20140502T000000,440000,2,1.0,800,4850,1.0,0,0.0,4.0,800,0,1944,,4801-4899 6th Ave NW,Seattle,WA 98107,USA,-0.31321070350728863,0.05182905003937289,12.994530005894443
39,20140502T000000,287200,3,3.0,1850,19966,1.0,0,0.0,4.0,1090,760,1992,,23017 SE 281st Ct,Maple Valley,WA 98038,USA,-0.7206246035181195,0.029952036652587874,12.567934116156206
40,20140502T000000,403000,3,2.0,1960,13100,1.0,0,2.0,5.0,1650,310,1957,,17825 4th Ave SW,Normandy Park,WA 98166,USA,-0.4118645929078171,0.04653160569833202,12.90669184092882
41,20140502T000000,750000,3,2.5,2390,6550,1.0,0,2.0,4.0,1440,950,1955,,3628 59th Ave SW,Seattle,WA 98116,USA,0.5133489103890305,0.09621304316701268,13.527828485512494
42,20140502T000000,335000,3,2.25,1580,16215,1.0,0,0.0,4.0,1580,0,1978,,4460 332nd Ave SE,Fall City,WA 98024,USA,-0.5931744436979774,0.03679576204452716,12.721885810807203
43,20140502T000000,260000,4,2.0,1480,8625,1.0,0,0.0,4.0,1480,0,1974,,2019 Aberdeen Pl SE,Renton,WA 98055,USA,-0.7931485438341837,0.02605769919106593,12.468436909997665
44,20140502T000000,308500,2,1.0,850,6174,1.0,0,0.0,4.0,850,0,1950,,121 NE 147th St,Shoreline,WA 98155,USA,-0.6638319590794369,0.03300164650297086,12.63947712232758
45,20140502T000000,439950,3,2.5,1770,2875,2.0,0,0.0,3.0,1770,0,1990,,4458 51st Ave SW,Seattle,WA 98116,USA,-0.3133440195740461,0.051821891330803914,12.994416363073707
46,20140502T000000,235000,2,1.0,1210,9400,1.0,0,0.0,2.0,1210,0,1949,,7542 21st Ave SW,Seattle,WA 98106,USA,-0.8598065772129191,0.02247834490657885,12.367340793126296
47,20140502T000000,315000,3,1.0,1160,9180,1.0,0,0.0,3.0,1160,0,1968,,15804 198th Pl NE,Woodinville,WA 98077,USA,-0.6465008704009657,0.033932278616937504,12.66032791780777
48,20140502T000000,437500,3,2.25,1970,35100,2.0,0,0.0,4.0,1970,0,1977,,26069 SE 154th St,Issaquah,WA 98027,USA,-0.31987650684516217,0.05147111461092419,12.988831984779805
49,20140502T000000,407500,3,2.5,1930,10460,2.0,0,0.0,3.0,1930,0,1996,,4314 NE 6th Pl,Renton,WA 98059,USA,-0.39986614689964467,0.04717588946953969,12.917796211663054
50,20140502T000000,445700,3,2.5,1270,1180,3.0,0,0.0,3.0,1270,0,2001,,2640 NW 56th St,Seattle,WA 98107,USA,-0.298012671896937,0.05264514281623595,13.007401358934647
51,20140502T000000,838000,4,2.5,3310,42998,2.0,0,0.0,3.0,3310,0,2001,,15712 NE 136th Pl,Redmond,WA 98052,USA,0.7479851878821792,0.10881237024840719,13.63877337946422
52,20140502T000000,630000,4,2.75,2710,37277,2.0,0,0.0,3.0,2710,0,2000,,26429 SE 154th Pl,Issaquah,WA 98027,USA,0.19339035017110054,0.0790321426014747,13.353475098367715
53,20140502T000000,550000,3,1.75,2910,35200,1.5,0,0.0,3.0,2910,0,1979,,3923 229th Pl SE,Sammamish,WA 98075,USA,-0.019915356640852803,0.06757820889111604,13.217673557208654
54,20140502T000000,805000,3,2.0,2710,4500,1.5,0,0.0,4.0,1880,830,1929,,6222 30th Ave NE,Seattle,WA 98115,USA,0.6599965838222485,0.10408762259288425,13.5985975564007
55,20140502T000000,284000,3,1.75,1800,23103,1.0,0,0.0,3.0,1800,0,1968,,32418 NE 50th St,Carnation,WA 98014,USA,-0.7291568317905976,0.029493879304173527,12.556729517143344
56,20140502T000000,470000,5,2.5,2210,9655,1.0,0,0.0,3.0,1460,750,1976,,19334 89th Ave NE,Bothell,WA 98011,USA,-0.23322106345280613,0.05612427518075739,13.060487973686241
57,20140502T000000,430000,4,1.5,1920,10000,1.0,0,0.0,4.0,1070,850,1954,,4071 156th Ave SE,Bellevue,WA 98006,USA,-0.3398739168587828,0.050397308325578066,12.971540487669746
58,20140502T000000,491500,4,1.75,2190,125452,1.0,0,2.0,3.0,2190,0,1968,,36850 204th Ave SE,Auburn,WA 98092,USA,-0.1758951547470937,0.05920251986541628,13.105217218569358
59,20140502T000000,785000,5,3.25,3660,11995,2.0,0,2.0,3.0,3660,0,2006,,7425 Snowberry Ave SE,Snoqualmie,WA 98065,USA,0.6066701571192601,0.10122413916529459,13.573438996764546
60,20140502T000000,436110,3,2.5,1770,1235,3.0,0,0.0,3.0,1600,170,2007,,1156 N 93rd St,Seattle,WA 98103,USA,-0.32358269350101987,0.0512721025127067,12.98564978408848
61,20140502T000000,385000,3,3.25,1320,1327,2.0,0,0.0,3.0,1040,280,2008,,3400 21st Ave W,Seattle,WA 98199,USA,-0.4598583769405066,0.04395447061350132,12.86099861326992
62,20140502T000000,295000,2,2.5,1630,1368,2.0,0,0.0,3.0,1280,350,2009,,5944-6082 Delridge Way SW,Seattle,WA 98106,USA,-0.6998272971039541,0.03106879518934784,12.594730635321957
63,20140502T000000,555000,4,2.5,3310,6500,2.0,0,0.0,3.0,3310,0,2012,,35229 SE Terrace St,Snoqualmie,WA 98065,USA,-0.006583749965105718,0.06829407974801346,13.226723392728571
64,20140502T000000,459990,3,2.5,2680,5539,2.0,0,0.0,3.0,2680,0,2013,,13800 453rd Ave SE,North Bend,WA 98045,USA,-0.2599109400176518,0.05469110172524876,13.038960029098545
65,20140502T000000,625000,4,3.25,2730,54014,1.0,0,0.0,3.0,1560,1170,2007,,9927 174th Ave SE,Renton,WA 98059,USA,0.18005874349535345,0.07831627174457728,13.345506928718539
66,20140502T000000,300000,3,2.5,2540,5050,2.0,0,0.0,3.0,2540,0,2006,,29734 215th Terrace SE,Kent,WA 98042,USA,-0.686495690428207,0.031784666046245254,12.611537753638338
67,20140503T000000,625000,4,2.75,2920,6605,2.0,0,0.0,3.0,2920,0,2012,,5608 NE 5th Cir,Renton,WA 98059,USA,0.18005874349535345,0.07831627174457728,13.345506928718539
68,20140503T000000,553000,2,1.0,900,5000,1.0,0,0.0,3.0,900,0,1944,,8053 29th Ave NW,Seattle,WA 98117,USA,-0.011916392635404552,0.0680077314052545,13.223113280504473
69,20140503T000000,379880,3,2.5,1650,14054,1.0,0,0.0,4.0,1130,520,1986,,13256 242nd Pl SE,Issaquah,WA 98027,USA,-0.4735099421764716,0.04322141885603837,12.84761069235689
70,20140503T000000,310000,3,1.0,1010,9945,1.0,0,0.0,4.0,1010,0,1973,,7528 N Fork Rd SE,Snoqualmie,WA 98065,USA,-0.6598324770767128,0.03321640776004009,12.644327576461329
71,20140504T000000,775000,2,2.5,2680,7392,1.0,0,0.0,3.0,2680,0,2004,,13134 234th Ct NE,Redmond,WA 98053,USA,0.580006943767766,0.09979239745149976,13.560618308335483
72,20140504T000000,365000,3,2.5,2200,7350,1.0,0,0.0,5.0,1570,630,1988,,13420 SE 182nd St,Renton,WA 98058,USA,-0.513184803643495,0.04109098718591166,12.80765263256463
73,20140504T000000,331950,4,2.5,2530,9933,2.0,0,2.0,3.0,2010,520,1990,,925 48th Ct,Auburn,WA 98092,USA,-0.6013067237701831,0.03635908082181974,12.712739634147306
74,20140504T000000,783500,3,2.5,2850,7130,2.0,0,0.0,3.0,1990,860,1980,,151 Euclid Ave,Seattle,WA 98122,USA,0.602670675116536,0.10100937790822537,13.571526340778213
75,20140504T000000,628000,4,2.0,2280,6010,1.0,0,0.0,3.0,1140,1140,1900,,205-206 Euclid Ave,Seattle,WA 98122,USA,0.1880577075008017,0.07874579425871574,13.350295445450335
76,20140505T000000,560000,3,2.5,1900,8744,2.0,0,0.0,3.0,1900,0,1987,,22314 NE 11th Pl,Sammamish,WA 98074,USA,0.006747856710641365,0.06900995060491089,13.235692062711331
77,20140505T000000,900000,3,1.0,1330,77972,1.0,0,0.0,3.0,1330,0,1928,1954.0,13615 NE 100th St,Kirkland,WA 98033,USA,0.913297110661443,0.11768916887393516,13.710150042306449
78,20140505T000000,531000,2,3.0,1270,1175,2.0,0,0.0,3.0,1110,160,2000,,1411 N 48th St,Seattle,WA 98103,USA,-0.07057546200869172,0.06485789963490587,13.182517300224076
79,20140505T000000,831000,4,3.0,2170,4000,2.0,0,0.0,4.0,1610,560,1982,2011.0,120 31st Ave E,Seattle,WA 98112,USA,0.7293209385361333,0.10781015104875082,13.630385073837585
80,20140505T000000,780000,4,2.5,2730,10281,2.0,0,2.0,3.0,2730,0,1996,,23140 NE 14th Ct,Sammamish,WA 98074,USA,0.593338550443513,0.10050826830839717,13.567049198665774
81,20140505T000000,219900,4,1.5,1120,5427,1.0,0,0.0,3.0,1120,0,1969,2014.0,19009-19021 SE 266th St,Covington,WA 98042,USA,-0.9000680293736752,0.02031641491874866,12.300928176542852
82,20140505T000000,210000,3,1.0,1340,306848,1.0,0,0.0,3.0,1340,0,1953,,17827 Mountain View Rd NE,Duvall,WA 98019,USA,-0.9264646105916545,0.01889899062209177,12.254862809699606
83,20140505T000000,755000,4,2.5,2120,10202,1.0,0,0.0,4.0,1620,500,1960,,12645 SE 27th St,Bellevue,WA 98005,USA,0.5266805170647776,0.09692891402391009,13.534473028231162
84,20140505T000000,705380,3,2.5,2490,4343,2.0,0,0.0,3.0,2490,0,2003,,3187 NE Larkspur Ln,Issaquah,WA 98029,USA,0.39437765241466355,0.08982461164006014,13.466491943674459
85,20140505T000000,627000,4,2.25,1990,7712,1.0,0,0.0,3.0,1210,780,1973,,18915 SE 42nd Pl,Issaquah,WA 98027,USA,0.1853913861656523,0.07860262008733625,13.348701819615057
86,20140505T000000,865000,4,3.0,3690,9892,2.0,0,0.0,3.0,3690,0,1998,,1765 267th Ct SE,Sammamish,WA 98075,USA,0.8199758639312135,0.11267807287565323,13.670484785914017
87,20140505T000000,580000,2,1.0,2540,7000,1.0,0,0.0,5.0,1320,1220,1942,,8624 Island Dr S,Seattle,WA 98118,USA,0.0600742834136297,0.07187343403250054,13.270783382522602
88,20140505T000000,410000,3,2.25,1800,36704,1.0,0,0.0,4.0,1360,440,1978,,24502 SE Mirrormont Dr,Issaquah,WA 98027,USA,-0.39320034356177114,0.0475338248979884,12.92391243868049
89,20140505T000000,485000,4,3.0,2340,7048,1.0,0,0.0,4.0,1340,1000,1979,,14319 85th Pl NE,Kirkland,WA 98034,USA,-0.19322624342556488,0.05827188775144964,13.091904169919621
90,20140505T000000,400000,2,1.75,2110,9519,1.0,0,0.0,2.0,2110,0,1948,,2120 NE 168th St,Shoreline,WA 98155,USA,-0.4198635569132653,0.04610208318419357,12.89921982609012
91,20140505T000000,549000,2,1.0,1140,5400,1.0,0,0.0,5.0,1140,0,1908,,209 30th Ave E,Seattle,WA 98112,USA,-0.022581677976002218,0.06743503471973657,13.215853720491667
92,20140505T000000,620000,3,1.75,1480,2185,2.5,0,0.0,3.0,1480,0,2005,,10512 128th Ave NE,Kirkland,WA 98033,USA,0.16672713681960638,0.07760040088767987,13.337474757021274
93,20140505T000000,405000,2,3.0,1410,1240,2.0,0,0.0,3.0,1140,270,2006,,9126 45th Ave SW,Seattle,WA 98136,USA,-0.4065319502375182,0.04681795404109099,12.911642346088676
94,20140505T000000,232000,2,1.0,1200,8063,1.0,0,0.0,4.0,1200,0,1958,,20220 8th Ave S,Des Moines,WA 98198,USA,-0.8678055412183673,0.022048822392440402,12.354492650648448
95,20140505T000000,800866,5,2.5,3180,13806,2.0,0,0.0,4.0,3180,0,1990,,11821 NE 48th Pl,Kirkland,WA 98033,USA,0.6489740114227408,0.10349574056840147,13.593448921169424
96,20140505T000000,650000,3,1.5,2160,9000,1.0,0,2.0,4.0,1400,760,1949,,13026 10th Ave NW,Seattle,WA 98177,USA,0.24671677687408888,0.08189562602906436,13.38472764187182
97,20140505T000000,823000,6,1.75,2920,5000,2.5,0,0.0,4.0,2780,140,1908,,125 29th Ave,Seattle,WA 98122,USA,0.707990367854938,0.10666475767771494,13.620711479659207
98,20140505T000000,770000,3,2.0,2350,5700,1.5,0,0.0,4.0,1810,540,1939,,2171 Boyer Ave E,Seattle,WA 98112,USA,0.5666753370920189,0.09907652659460234,13.554145793829866
99,20140505T000000,524000,3,1.75,1560,5520,1.0,0,0.0,4.0,780,780,1944,,3434 33rd Ave W,Seattle,WA 98199,USA,-0.08923971135473764,0.06385568043524949,13.169246963303179
100,20140505T000000,541125,5,2.75,2740,8426,1.0,0,0.0,4.0,1370,1370,1960,,5211 116th Pl SE,Bellevue,WA 98006,USA,-0.043578958490303875,0.06630753812012313,13.20140558474428
101,20140505T000000,670000,3,2.5,1680,2000,3.0,0,0.0,3.0,1680,0,1909,1998.0,3503 NE 44th St,Seattle,WA 98105,USA,0.3000432035770772,0.08475910945665402,13.415032991367148
102,20140505T000000,384900,5,2.5,3090,12750,1.0,0,0.0,3.0,1750,1340,1968,,114 SW 292nd St,Federal Way,WA 98023,USA,-0.4601250090740215,0.04394015319636337,12.860738839271837
103,20140505T000000,406100,3,2.25,1410,1332,3.0,0,0.0,3.0,1410,0,2005,,8536 Interlake Ave N,Seattle,WA 98103,USA,-0.40359899676885386,0.04697544562960842,12.914354713674388
104,20140505T000000,1395000,5,3.5,4010,8510,2.0,0,1.0,5.0,2850,1160,1971,,3930 NE Belvoir Pl,Seattle,WA 98105,USA,2.2331261715604045,0.1885603837067793,14.148404973237604
105,20140505T000000,736500,4,2.5,3180,21904,2.0,0,3.0,3.0,3180,0,2000,,17132 SE 100th St,Renton,WA 98059,USA,0.4773535723645134,0.09428019185338965,13.509664514884822
106,20140505T000000,184000,3,1.75,1490,10125,1.0,0,0.0,4.0,1490,0,1962,,3911 S 328th St,Federal Way,WA 98001,USA,-0.9957889653055393,0.01517646216622521,12.122691036591123
107,20140505T000000,570000,3,2.25,2010,6000,1.0,0,0.0,3.0,1330,680,1975,,10204 168th Pl NE,Redmond,WA 98052,USA,0.033411070062135534,0.07044169231870571,13.253391639810733
108,20140505T000000,787000,3,1.75,1330,7500,1.0,0,0.0,3.0,1330,0,1961,,218 109th Ave SE,Bellevue,WA 98004,USA,0.612002799789559,0.10151048750805355,13.57598352739954
109,20140505T000000,328000,4,2.5,2370,6500,2.0,0,0.0,3.0,2370,0,1998,,12621 SE 300th Way,Auburn,WA 98092,USA,-0.6118386930440233,0.03579354284487078,12.70076888736628
110,20140505T000000,435000,5,2.0,1840,9240,1.0,0,0.0,4.0,1540,300,1942,1958.0,14013 Ashworth Ave N,Seattle,WA 98133,USA,-0.3265423101830357,0.05111317918247548,12.983101310070822
111,20140505T000000,499000,4,2.5,2910,6479,2.0,0,0.0,3.0,2910,0,2006,,34010 SE Sorenson St,Snoqualmie,WA 98065,USA,-0.15589774473347306,0.0602763261507624,13.120361374733656
112,20140505T000000,501000,4,1.0,2070,7519,1.0,0,0.0,3.0,1160,910,1963,,2506 166th Ave NE,Bellevue,WA 98008,USA,-0.15056510206317422,0.060562674493521367,13.124361380067002
113,20140505T000000,665000,4,2.5,2800,5900,1.0,0,0.0,3.0,1660,1140,1963,,7052 39th Ave NE,Seattle,WA 98115,USA,0.28671159690133013,0.08404323859975661,13.407542319637992
114,20140505T000000,1090000,4,2.5,4340,141570,2.5,0,0.0,3.0,4340,0,1992,,8814 218th Ave NE,Redmond,WA 98053,USA,1.4198981643398323,0.14489226143603695,13.901688254205327
115,20140505T000000,400000,2,1.0,840,5510,1.0,0,0.0,3.0,840,0,1955,,4515 SW Trenton St,Seattle,WA 98136,USA,-0.4198635569132653,0.04610208318419357,12.89921982609012
116,20140505T000000,220000,4,1.5,1240,9600,1.0,0,0.0,3.0,1240,0,1971,,4924 SW 314th Pl,Federal Way,WA 98023,USA,-0.8998013972401603,0.0203307323358866,12.301382825334498
117,20140505T000000,657100,4,1.0,1390,4240,1.0,0,0.0,3.0,1050,340,1924,,4312 Woodlawn Ave N,Seattle,WA 98103,USA,0.26564765835364973,0.0829121626458587,13.39559149288596
118,20140505T000000,309950,4,2.75,2310,5000,2.0,0,0.0,3.0,2310,0,2006,,22912 SE 268th Pl,Maple Valley,WA 98038,USA,-0.6599657931434703,0.033209249051471115,12.644166273130065
119,20140505T000000,300000,3,2.0,1050,10072,1.0,0,0.0,3.0,1050,0,1986,,27106 NE Miller St,Duvall,WA 98019,USA,-0.686495690428207,0.031784666046245254,12.611537753638338
120,20140505T000000,525888,5,1.75,2550,71874,1.0,0,0.0,5.0,1810,740,1960,,13129 195th Pl SE,Issaquah,WA 98027,USA,-0.08420569667397554,0.06412599327081395,13.17284354129086
121,20140505T000000,740000,4,1.75,2010,3600,1.5,0,0.0,3.0,2010,0,1902,,1014 W Garfield St,Seattle,WA 98119,USA,0.4866856970375364,0.09478130145321785,13.514405465180353
122,20140505T000000,340000,5,1.0,1120,9022,1.5,0,0.0,4.0,1120,0,1962,,14150 75th Ave NE,Kirkland,WA 98034,USA,-0.5798428370222303,0.037511632901424584,12.736700896592344
123,20140505T000000,855000,4,2.75,2600,5390,1.0,0,0.0,4.0,1300,1300,1960,,2120 31st Ave W,Seattle,WA 98199,USA,0.7933126505797193,0.1112463311618584,13.658856747918897
124,20140505T000000,398750,3,2.5,2230,4000,2.0,0,0.0,3.0,2230,0,1954,,2601 21st Ave S,Seattle,WA 98144,USA,-0.42319645858220206,0.04592311546996922,12.896089933081191
125,20140505T000000,206000,2,1.0,810,7158,1.0,0,0.0,5.0,810,0,1944,,12807 7th Ave S,Burien,WA 98168,USA,-0.9371298959322522,0.01832629393657384,12.235631447771718
126,20140505T000000,1030000,5,2.75,3190,16920,1.0,0,3.0,3.0,1690,1500,1976,,4529 135th Ave SE,Bellevue,WA 98006,USA,1.2599188842308673,0.13630181115326795,13.845069360205818
127,20140505T000000,600000,3,1.75,1670,39639,1.0,0,0.0,4.0,1670,0,1976,1992.0,1804 E Beaver Lake Dr SE,Sammamish,WA 98075,USA,0.11340071011661804,0.0747369174600902,13.304684934198283
128,20140505T000000,379950,4,1.75,1970,9389,1.0,0,0.0,5.0,1140,830,1960,,1701 N 204th Pl,Shoreline,WA 98133,USA,-0.4733232996830111,0.04323144104803493,12.84779494409793
129,20140505T000000,287000,3,1.0,1450,6000,1.0,0,0.0,4.0,1450,0,1953,,8681 Beacon Ave S,Seattle,WA 98118,USA,-0.7211578677851495,0.029923401818311976,12.567237494741757
130,20140505T000000,2280000,7,8.0,13540,307752,3.0,0,4.0,3.0,9410,4130,1999,,26408 NE 70th St,Redmond,WA 98053,USA,4.5928205531676385,0.3152695253776219,14.639686000930624
131,20140505T000000,309950,3,2.5,1880,7838,2.0,0,0.0,3.0,1880,0,1994,,17717 113th Pl SE,Renton,WA 98055,USA,-0.6599657931434703,0.033209249051471115,12.644166273130065
132,20140505T000000,600000,3,1.75,1880,6360,1.0,0,0.0,4.0,1040,840,1945,,8040 39th Ave NE,Seattle,WA 98115,USA,0.11340071011661804,0.0747369174600902,13.304684934198283
133,20140505T000000,418000,3,2.0,1410,6030,1.5,0,0.0,4.0,1410,0,1930,,901 N 97th St,Seattle,WA 98103,USA,-0.3718697728805758,0.048679218269024264,12.943236711506893
134,20140505T000000,449250,4,2.0,1480,3844,1.5,0,0.0,5.0,1480,0,1928,,519 N 104th St,Seattle,WA 98133,USA,-0.2885472311571565,0.053153411124633114,13.015334804645805
135,20140505T000000,329950,2,1.0,1140,5250,1.5,0,0.0,4.0,1140,0,1949,,14017 Roslyn Pl N,Seattle,WA 98133,USA,-0.606639366440482,0.03607273247906077,12.706696406811568
136,20140505T000000,245000,3,1.75,1920,9306,1.0,0,0.0,3.0,1000,920,1984,,30001-30021 55th Pl S,Auburn,WA 98001,USA,-0.8331433638614248,0.02391008662037368,12.409013489526863
137,20140505T000000,549000,4,2.5,2910,6338,2.0,0,0.0,3.0,2910,0,2008,,16026 SE 137th Terrace,Renton,WA 98059,USA,-0.022581677976002218,0.06743503471973657,13.215853720491667
